company,bus_brand,from_city,from_station,to_city,to_station,scheduled_departure,actual_departure,arrival_time,counter,safety,comfort,comment
Kesatuan,Seasons,"Kuala Lumpur",Puduraya,Penang,Butterworth,"2012-03-25 21:00","2012-03-25 21:23","2012-03-26 01:29",29,"","",""
Kesatuan,Seasons,"Kuala Lumpur",Puduraya,Penang,"Sg Nibong","2012-03-25 21:00","2012-03-25 21:23","2012-03-26 01:46",29,"","",""
Kesatuan,Seasons,"Kuala Lumpur","Hentian Duta",Penang,Butterworth,"2012-03-25 21:30","2012-03-25 21:49","2012-03-26 01:29",29,"","",""
Kesatuan,Seasons,"Kuala Lumpur","Hentian Duta",Penang,"Sg Nibong","2012-03-25 21:30","2012-03-25 21:49","2012-03-26 01:46",29,"","",""
"Sykt Pengangkutan Hamid Yacob S/B","Alisan Express",Penang,"Sg Nibong","Kuala Lumpur",Puduraya,"2012-04-13 18:30",Cancelled,Cancelled,34,"","",""
"Sykt Pengangkutan Hamid Yacob S/B",Eagle,Penang,"Sg Nibong","Sg Buloh","","2012-04-13 19:00","2012-04-13 19:40","2012-04-14 00:00",34,"","",""
"Sykt Pengangkutan Hamid Yacob S/B",Eagle,Penang,"Sg Nibong","Kuala Lumpur","Hentian Duta","2012-04-13 19:00","2012-04-13 19:40","2012-04-14 00:16",34,"","",""
"Sykt Pengangkutan Hamid Yacob S/B",Eagle,Penang,"Sg Nibong","Kuala Lumpur",Puduraya,"2012-04-13 19:00","2012-04-13 19:40","2012-04-14 00:30",34,"","",""
"Eagle Ekspres",Seasons,"Kuala Lumpur",Puduraya,Penang,Butterworth,"2012-04-15 21:00","2012-04-15 21:14","2012-04-16 01:45",6,"","",""
"Eagle Ekspres",Seasons,"Kuala Lumpur",Puduraya,Penang,"Sg Nibong","2012-04-15 21:00","2012-04-15 21:14","2012-04-16 02:07",6,"","",""
"Eagle Ekspres",Seasons,"Kuala Lumpur","Hentian Duta",Penang,Butterworth,"2012-04-15 21:30","2012-04-15 21:40","2012-04-16 01:45",6,"","",""
"Eagle Ekspres",Seasons,"Kuala Lumpur","Hentian Duta",Penang,"Sg Nibong","2012-04-15 21:30","2012-04-15 21:40","2012-04-16 02:07",6,"","",""
Starmart,"707 Super Nice",Penang,"Sg Nibong","Sg Buloh","","2012-04-20 18:30","2012-04-20 19:15","2012-04-20 23:35",16/17,2,4,""
Starmart,"707 Super Nice",Penang,"Sg Nibong","Kuala Lumpur","Hentian Duta","2012-04-20 18:30","2012-04-20 19:15","2012-04-20 23:51",16/17,2,4,""
Starmart,"707 Super Nice",Penang,"Sg Nibong","Kuala Lumpur",Puduraya,"2012-04-20 18:30","2012-04-20 19:15","2012-04-21 00:01",16/17,2,4,""
"KPB Ekspres","","Kuala Lumpur",Puduraya,Ipoh,"","2012-04-22 21:00","2012-04-22 21:03","2012-04-22 23:52",10,5,3,""
"KPB Ekspres","","Kuala Lumpur",Puduraya,Taiping,"","2012-04-22 21:00","2012-04-22 21:03","2012-04-23 01:19",10,5,3,""
"KPB Ekspres","","Kuala Lumpur",Puduraya,Penang,"Sg Nibong","2012-04-22 21:00","2012-04-22 21:03","2012-04-23 02:28",10,5,3,""
"KPB Ekspres","","Kuala Lumpur","Hentian Duta",Ipoh,"","2012-04-22 21:30","2012-04-22 21:32","2012-04-22 23:52",10,5,3,""
"KPB Ekspres","","Kuala Lumpur","Hentian Duta",Taiping,"","2012-04-22 21:30","2012-04-22 21:32","2012-04-23 01:19",10,5,3,""
"KPB Ekspres","","Kuala Lumpur","Hentian Duta",Penang,"Sg Nibong","2012-04-22 21:30","2012-04-22 21:32","2012-04-23 02:28",10,5,3,""
"KPB Ekspres","",Ipoh,"",Taiping,"","2012-04-23 00:00","2012-04-23 00:06","2012-04-23 01:19",10,5,3,""
"KPB Ekspres","",Ipoh,"",Penang,"Sg Nibong","2012-04-23 00:00","2012-04-23 00:06","2012-04-23 02:28",10,5,3,""
"KPB Ekspres",Seasons,Penang,"Sg Nibong","Kuala Lumpur","Hentian Duta","2012-04-27 18:30","2012-04-27 18:54","2012-04-27 23:32",1/2,3,2,""
"KPB Ekspres",Seasons,Penang,"Sg Nibong","Kuala Lumpur",Puduraya,"2012-04-27 18:30","2012-04-27 18:54","2012-04-27 23:49",1/2,3,2,""
Plusliner,Plusliner,Puchong,"Puchong Tesco",Penang,"Sg Nibong","2012-05-01 15:15","2012-05-01 15:15","2012-05-01 20:47","",5,2,""
Plusliner,Plusliner,"Kuala Lumpur",KTM,Penang,"Sg Nibong","2012-05-01 16:00","2012-05-01 16:05","2012-05-01 20:47","",5,2,""
Plusliner,Plusliner,Penang,"Sg Nibong","Kuala Lumpur",KTM,"2012-05-05 13:00","2012-05-05 13:03","2012-05-05 16:48",9,4,5,""
"Super Nice","Super Nice","Kuala Lumpur",Puduraya,Ipoh,"","2012-05-07 10:00","2012-05-07 10:19","2012-05-07 13:48",51,3,3,""
"Super Nice","Super Nice","Kuala Lumpur",Puduraya,Penang,"Sg Nibong","2012-05-07 10:00","2012-05-07 10:19","2012-05-07 16:13",51,3,3,""
"Super Nice","Super Nice","Kuala Lumpur","Hentian Duta",Ipoh,"","2012-05-07 10:30","2012-05-07 11:05","2012-05-07 13:48",51,3,3,""
"Super Nice","Super Nice","Kuala Lumpur","Hentian Duta",Penang,"Sg Nibong","2012-05-07 10:30","2012-05-07 11:05","2012-05-07 16:13",51,3,3,""
"KPB Ekspres","Cepat Sedia",Penang,"Sg Nibong","Kuala Lumpur","Jalan Duta","2012-05-11 18:30","2012-05-11 19:11","2012-05-12 00:23",1/2,3,2,"bus broke down"
"KPB Ekspres","Cepat Sedia",Penang,"Sg Nibong","Kuala Lumpur",Puduraya,"2012-05-11 18:30","2012-05-11 19:11","2012-05-12 00:42",1/2,3,2,"bus broke down"
"Etika Express",Seasons,"Kuala Lumpur",Puduraya,Penang,Butterworth,"2012-05-13 22:00","2012-05-13 22:17","2012-05-14 02:38",46,3,2,"driver smoked on bus"
"Etika Express",Seasons,"Kuala Lumpur",Puduraya,Penang,"Sg Nibong","2012-05-13 22:00","2012-05-13 22:17","2012-05-14 03:00",46,3,2,"driver smoked on bus"
"Etika Express",Seasons,"Kuala Lumpur","Hentian Duta",Penang,Butterworth,"2012-05-13 22:30","2012-05-13 22:36","2012-05-14 02:38",46,3,2,"driver smoked on bus"
"Etika Express",Seasons,"Kuala Lumpur","Hentian Duta",Penang,"Sg Nibong","2012-05-13 22:30","2012-05-13 22:36","2012-05-14 03:00",46,3,2,"driver smoked on bus"
"Alisan Express",Seasons,Penang,"Sg Nibong","Kuala Lumpur","Hentian Duta","2012-05-18 18:30","2012-05-18 18:47","2012-05-18 23:27",19,4,2,"annoying driver played music, sang, and whistled"
"Alisan Express",Seasons,Penang,"Sg Nibong","Kuala Lumpur",Puduraya,"2012-05-18 18:30","2012-05-18 18:47","2012-05-18 23:41",19,4,2,"annoying driver played music, sang, and whistled"
"GT Express","Alisan Express","Kuala Lumpur",Puduraya,Penang,Butterworth,"2012-05-20 18:30","2012-05-20 19:06","2012-05-20 22:34",42,2,2,""
"GT Express","Alisan Express","Kuala Lumpur",Puduraya,Penang,"Sg Nibong","2012-05-20 18:30","2012-05-20 19:06","2012-05-20 22:50",42,2,2,""
"AB Ekspres","Shamisha Holiday Express","Kuala Lumpur",Puduraya,Penang,Butterworth,"2012-05-24 14:30","2012-05-24 16:00","2012-05-24 20:45",49,2,1,""
"AB Ekspres","Shamisha Holiday Express","Kuala Lumpur",Puduraya,Penang,"Sg Nibong","2012-05-24 14:30","2012-05-24 16:00","2012-05-24 21:08",49,2,1,"boarded bus at ticket time of 2:30pm, was chased down and switched bus at 2:45pm, finally another bus come 3:55pm, unexpected stop in Ipoh, changed bus again in Butterworth"
Transnasional,Transnasional,Penang,"Sg Nibong","Kuala Lumpur","Hentian Duta","2012-06-22 17:30","2012-06-22 17:33","2012-06-22 22:48",9,5,2,"driver smoked in bus, air con too cold"
Transnasional,Transnasional,Penang,"Sg Nibong","Kuala Lumpur",Puduraya,"2012-06-22 17:30","2012-06-22 17:33","2012-06-22 223:05",9,5,2,"driver smoked in bus, air con too cold"
Kesatuan,,"Kuala Lumpur",Puduraya,Penang,"Sg Nibong","2012-06-24 16:30","2012-06-24 16:26","2012-06-24 23:17",29,2,3,
"KPB Ekspres","Era Mesra",Penang,"Sg Nibong","Sg Buloh","","2012-07-13 19:30","2012-07-13 20:17","2012-07-14 01:12",2,3,4,"picked up additional passengers at shell station then again by side of road in Tambun, this is not an express bus"
"KPB Ekspres","Era Mesra",Penang,"Sg Nibong","Sg Buloh","","2012-07-13 20:00","2012-07-13 20:17","2012-07-14 01:12",2,3,4,"picked up additional passengers at shell station then again by side of road in Tambun, this is not an express bus"
"KPB Ekspres","Era Mesra",Penang,"Sg Nibong","Kuala Lumpur","Hentian Duta","2012-07-13 19:30","2012-07-13 20:17","2012-07-14 01:31",2,3,4,"picked up additional passengers at shell station then again by side of road in Tambun, this is not an express bus"
"KPB Ekspres","Era Mesra",Penang,"Sg Nibong","Kuala Lumpur","Hentian Duta","2012-07-13 20:00","2012-07-13 20:17","2012-07-14 01:31",2,3,4,"picked up additional passengers at shell station then again by side of road in Tambun, this is not an express bus"
"KPB Ekspres","Era Mesra",Penang,"Sg Nibong","Kuala Lumpur",Puduraya,"2012-07-13 19:30","2012-07-13 20:17","2012-07-14 01:42",2,3,4,"picked up additional passengers at shell station then again by side of road in Tambun, this is not an express bus"
"KPB Ekspres","Era Mesra",Penang,"Sg Nibong","Kuala Lumpur",Puduraya,"2012-07-13 20:00","2012-07-13 20:17","2012-07-14 01:42",2,3,4,"picked up additional passengers at shell station then again by side of road in Tambun, this is not an express bus"
Transnasional,Transnasional,"Kuala Lumpur",Puduraya,Penang,"Sg Nibong","2012-07-16 00:00","2012-07-16 00:01","2012-07-16 04:35",5,2,2,"don't know why we stopped at duta for 30 minutes"
Transnasional,Transnasional,"Kuala Lumpur","Hentian Duta",Penang,"Sg Nibong","2012-07-16 00:30","2012-07-16 00:45","2012-07-16 04:35",5,2,2,"don't know why we stopped at duta for 30 minutes"
"Gunung Raya Ekspres","Konsortium Bas Ekspres",Penang,"Sg Nibong","Sg Buloh","","2012-07-27 19:30","2012-07-27 20:09","2012-07-28 00:46","28/29",2,2,""
"Gunung Raya Ekspres","Konsortium Bas Ekspres",Penang,"Sg Nibong","Kuala Lumpur","Hentian Duta","2012-07-27 19:30","2012-07-27 20:09","2012-07-28 01:04","28/29",2,2,""
"Gunung Raya Ekspres","Konsortium Bas Ekspres",Penang,"Sg Nibong","Kuala Lumpur",Puduraya,"2012-07-27 19:30","2012-07-27 20:09","2012-07-28 01:14","28/29",2,2,""
"Etika Express",Seasons,"Kuala Lumpur","Puduraya",Penang,Butterworth,"2012-07-29 21:00","2012-07-29 21:29","2012-07-30 02:19",46,3,2,""
"Etika Express",Seasons,"Kuala Lumpur","Puduraya",Penang,"Sg Nibong","2012-07-29 21:00","2012-07-29 21:29","2012-07-30 02:41",46,3,2,""
"Etika Express",Seasons,"Kuala Lumpur","Hentian Duta",Penang,Butterworth,"2012-07-29 21:30","2012-07-29 21:53","2012-07-30 02:19",46,3,2,""
"Etika Express",Seasons,"Kuala Lumpur","Hentian Duta",Penang,"Sg Nibong","2012-07-29 21:30","2012-07-29 21:53","2012-07-30 02:41",46,3,2,""
"Sykt Pengangkutan Hamid Yacob S/B","Five Stars",Penang,"Sg Nibong","Kuala Lumpur",Damansara,"2012-08-31 17:00","2012-08-31 17:06","2012-08-31 21:36",34,5,5,"supposed to be express to Puduraya but stopped at 1 Utama"
"Sykt Pengangkutan Hamid Yacob S/B","Five Stars",Penang,"Sg Nibong","Kuala Lumpur",Puduraya,"2012-08-31 17:00","2012-08-31 17:06","2012-08-31 22:04",34,5,5,"supposed to be express to Puduraya but stopped at 1 Utama"
"Star Qisna","Starmart Express","Kuala Lumpur",Puduraya,Penang,Butterworth,"2012-09-02 16:00","2012-09-02 16:55","2012-09-02 21:23",15,2,2,"guy at counter lied, said bus was scheduled for 4pm but it was really scheduled for 4:30pm and didn't actually leave until 5pm, paid extra for massage chair but there was none, was told bus was direct to sg nibong with no stops but stopped at butterworth"
"Star Qisna","Starmart Express","Kuala Lumpur",Puduraya,Penang,"Sg Nibong","2012-09-02 16:00","2012-09-02 16:55","2012-09-02 21:56",15,2,2,"guy at counter lied, said bus was scheduled for 4pm but it was really scheduled for 4:30pm and didn't actually leave until 5pm, paid extra for massage chair but there was none, was told bus was direct to sg nibong with no stops but stopped at butterworth"
Transnasional,Transnasional,"Kuala Lumpur",Puduraya,Penang,"Sg Nibong","2012-09-08 16:00","2012-09-08 16:02","2012-09-08 21:06",5,4,3,"stop at duta station at 4.36 pm and exchange bus."
Transnasional,Transnasional,"Kuala Lumpur","Hentian Duta",Penang,"Sg Nibong","2012-09-08 16:30","2012-09-08 16:34","2012-09-08 21:06",5,4,3,"stop at duta station at 4.36 pm and exchange bus."
"Sykt Pengangkutan Hamid Yacob S/B","Konsortium Bas Ekspres",Penang,"Sg Nibong","Kuala Lumpur",Puduraya,2012-09-17 11:00,2012-09-17 11:12,2012-09-17 17:34,34,1,2,"12.15pm-12.54pm, we were waiting for bus repaired. then break time it took 2pm-2.55pm. again another break at 4.17pm-4.30pm. driver drive very fast."
